col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
24,17.440812159164132,19.67544325234696,22.377327640002687,18.6669347287169,16.882265532171793,18.402878390349887,17.890962992854963,16.089501272802742,17.901544709291183,16.338068545140306,17.279437844080526,21.066540243805743,24.644423445420884,22.45035942571374,17.32889983143544,17.112653489255635,20.29371853836215,22.9832839529726,16.576100266746685,19.81186594910135,19.282137540268597,16.74853531605095,21.12811222676938,18.285831603339332,16.307321115183772,16.596351488226123,19.03103894445023,19.026988318934556,16.321024551487827,19.58835970224201
25,16.25191323817048,20.11475097591896,19.705964995367243,20.293608332297318,17.514872274237558,18.0965622648109,19.32476538950201,17.68062753212932,18.585566679319708,16.28130840059748,17.043369640115557,19.013668346679513,24.392809702438434,24.17086720646775,17.00734130612784,15.781933267817816,20.895222940207947,21.139153123531184,17.327260158195102,18.59670022665343,18.75385152799994,18.49955971253844,21.36095844101685,17.617841637836474,16.46786176090562,16.78311259739781,16.8659227274804,17.99888380892677,16.06989445178654,18.265725678089638
26,17.491676000161192,21.46972862798293,20.175603862256143,20.704042913907973,17.767194220686967,19.176649071466045,17.432925620375194,15.270151495137686,18.712373238693957,16.525135926075496,16.221901481192692,19.563432441889127,24.15842905455824,22.923900448032043,16.030348770984084,17.869429714409122,19.45853374128914,19.80403093043136,19.26314001731767,19.79373779708371,18.119953233757847,16.23063050873369,21.048564839057782,18.68451468100456,17.319540884934227,16.403983120700616,16.653935578840894,17.688714887012903,16.792467734769044,16.413393418621435
27,17.894629637173832,19.6192544851735,18.910030712197024,19.996925548904045,17.425390159905163,19.844105017748205,19.14446144061055,18.658595196436202,18.244555141976416,16.988221902469157,18.133523202985202,19.951797580998377,24.347534190753706,19.529276068859115,17.375785078473662,18.295238767859956,20.26220019187168,18.117273624557374,18.1601614990207,19.552708675189688,18.113833413265446,18.077798348812447,22.169509575911295,19.591466361025244,16.495947230785347,18.173312900513782,18.66453983659585,19.265933320006855,16.008448044119927,20.135744832112547
28,18.16180177897736,17.71540788518038,19.124967007268555,19.45626376983852,16.74647197254493,18.71079067811453,19.757321555074803,18.21694537994215,17.392729864760305,16.57621585357716,17.091410117457507,21.233518205085822,25.508112387253203,18.440907583327593,16.638538144101755,18.052523138745446,20.309479712983205,18.3558717698167,16.628208566831226,17.04160159323801,18.038325604735316,16.996591706449404,19.57852815032958,19.047305497805567,16.54961789549153,17.363015853212637,17.76173156207086,18.134161706687813,16.160369015470046,17.241142741364733
29,18.662256151929668,18.073208085506586,18.45421718219704,20.430625966721838,18.59929654542125,22.594492623117358,18.747443519720342,19.62011917892462,17.784207335898017,16.39458405534453,15.767392262297264,21.178384795341433,23.671990429017285,18.149040265559236,17.65184121964709,16.953774107250496,21.935563713420326,17.785746811587167,16.927744805160682,17.80547696281983,18.426649034692932,17.164541523169763,18.536460284005663,17.533112095202096,16.0009494153747,16.834829731036315,18.40253887519504,18.35562038900299,16.85663658551382,18.603644789485465
30,18.951824424810624,16.379015382764372,18.841744959769613,20.465486880983807,19.1840643047417,22.079276182147034,18.41745818653938,18.790698730386623,17.71724580244005,17.39778795215894,17.963263573622424,20.65544502636436,25.699550956722472,19.388251450600958,17.529606573400535,18.383652136580388,21.194806008906586,17.213897278605216,16.75795309137125,18.472557244196828,16.76439827914118,16.88865972809492,18.125027397761794,17.52647850756931,16.965347878546332,18.053586902488462,17.445878036511676,19.265076750882336,15.81998651382045,19.62773238445006
31,19.069096076606996,18.157695038751054,19.097285740786983,18.401961491695417,17.661057364525668,21.21638036274286,19.38289753574447,20.687553701034666,17.512900155998935,17.36174455090247,15.860631893252163,21.195595202969198,23.876474060079534,20.8310132565514,17.820441179216473,16.10410343425559,25.52129283082294,16.754180972232625,15.76927685782874,17.688702475889983,18.07136430249573,16.775321947214227,18.14677009159943,17.907954957116157,17.858151732148652,16.61190602211561,16.858170360706872,17.992530180969702,16.35389901803891,20.073600540689153
32,18.700878464792027,16.590224783197193,18.59629224793855,18.96447448933688,16.79105299874979,20.114970276851484,18.837838754647596,20.827095010309225,19.212061470055463,17.64799921865149,16.857462948891545,19.195493176526966,24.140868458767216,22.305885578393735,19.451184835442582,17.712372354108965,19.314818260600152,17.862544894125442,17.329863915818066,17.474363057079835,17.37622383590868,16.79976712871879,17.608414733078092,17.868833296288468,15.459883172972855,17.43350059832086,16.61244855497619,19.92303705386749,17.26063078772627,19.402277472628548
33,17.134446493155753,18.0855385449492,20.035776598008326,19.381889830315558,17.38000805348777,19.98568362101115,19.06875806039795,21.355080685382543,18.72766795244748,16.625396932492865,16.29921972535121,20.560858196932617,23.7713156000398,19.83914237059904,18.671225473829978,18.42563587383702,20.626060458746466,17.428146265923218,17.68747460614064,16.77170411479827,17.42149219922092,17.207716376060123,19.791208780660774,17.662574205975712,16.54882979245199,17.40124399434211,18.789739861235244,17.93840524520768,16.86091094065677,18.193749728373486
34,17.531889696756497,17.70439946958482,19.86938119644427,17.224975946183896,17.0727993961576,21.64610537474685,19.585619994105397,18.5098930982747,17.639731134893633,16.829020723034393,17.38189881353376,19.560295491082925,25.33831463760954,18.30491100155761,19.427597094917136,16.656243601459998,18.879818944814673,16.617590772563762,16.651435862189558,16.44714274397784,18.5213447262238,16.399731460544754,17.65464397534805,15.729905157657175,17.523686373289337,17.511466808653132,16.996103914650394,16.924023124237753,16.461450668915024,18.24789501731956
35,17.908457031513702,16.64682289630378,20.15813184865757,16.988644837589383,18.154594885060472,23.466635503939493,19.95621693944726,21.756797072996637,18.289603621853857,17.800282191119045,18.149367484205825,23.011516844806003,23.321893157826135,18.17890719270413,19.5565510484765,17.179589911793435,20.017746733336473,17.974474601961145,15.168447414443575,16.758051390990993,17.004544216385288,16.456950691058914,18.04499557539302,17.64654375023962,17.10970922912263,17.286832193752467,16.749130960258597,17.39208177850129,16.827796319830757,19.264021341243897
36,16.356275364481366,16.025155820665717,20.434369491831394,17.428059452622403,16.65068176353338,22.520357956867308,18.980427012155822,22.14547589042688,19.218007356860667,18.007793966161746,16.47153455727728,21.8583808755914,24.011714970815532,17.93073167774074,18.46879307388196,18.120910089183294,19.38690982601613,15.709316824384413,16.974946093923393,17.08804907510225,17.176843969532975,17.738384896095603,18.325250000813543,17.76545892184935,16.796848825113575,17.20135781957357,17.514308359742724,17.357952378679453,17.62821383622679,19.38150214433938
